龙肝麟脯	lóng gān lín fǔ
见德思齐	jiàn dé sī qí
见弹求鸮炙	jiàn dàn qiú xiāo zhì
见弹求鹗	jiàn dàn qiú è
见财起意	jiàn cái qǐ yì
见鞍思马	jiàn ān sī mǎ
监貌辨色	jiàn mào biàn sè
间见层出	jiàn xiàn céng chū
间不容息	jiàn bù róng xī
间不容缓	jiān bù róng huǎn
间不容发	jiàn bù róng fà
蹇之匪躬	jiǎn zhī fěi gōng
蹇视高步	jiǎn shì gāo bù
蹇人升天	jiǎn rén shēng tiān
蹇人上天	jiǎn rén shàng tiān
蹇蹇匪躬	jiǎn jiǎn fěi gōng
蹇谔之风	jiǎn è zhī fēng
蹇谔匪躬	jiǎn è fěi gōng
謇谔自负	jiǎn è zì fù
謇谔之风	jiǎn è zhī fēng
翦草除根	jiǎn cǎo chú gēn
简在帝心	jiǎn zài dì xīn
简约详核	jiǎn yuē xiáng hé
简要清通	jiǎn yào qīng tōng
简要不烦	jiǎn yào bù fán
简贤任能	jiǎn xián rèn néng
简贤附势	jiǎn xián fù shì
简丝数米	jiǎn sī shǔ mǐ
简能而任	jiǎn néng ér rèn
简明扼要	jiǎn míng è yào
简落狐狸	jiǎn luò hú lí
简练揣摩	jiǎn liàn chuǎi mó
简截了当	jiǎn jié liǎo dàng
简捷了当	jiǎn jié liǎo dàng
简而言之	jiǎn ér yán zhī
简断编残	jiǎn duàn biān cán
简傲绝俗	jiǎn ào jué sú
剪烛西窗	jiǎn zhú xī chuāng
剪枝竭流	jiǎn zhī jié liú
剪须和药	jiǎn xū huò yào
剪发披缁	jiǎn fā pī zī
剪发披褐	jiǎn fà pī hè
剪发杜门	jiǎn fà dù mén
剪发被褐	jiǎn fā bèi hè
剪恶除奸	jiǎn è chú jiān
剪草除根	jiǎn cǎo chú gēn
减灶之计	jiǎn zào zhī jì
减师半德	jiǎn shī bàn dé
茧丝牛毛	jiǎn sī niú máo
俭以养廉	jiǎn yǐ yǎng lián
俭以养德	jiǎn yǐ yǎng dé
俭可以助廉	jiǎn kě yǐ zhù lián
俭可以养廉	jiǎn kě yǐ yǎng lián
俭可养廉	jiǎn kě yǎng lián
俭故能广	jiǎn gù néng guǎng
俭腹高谈	jiǎn fù gāo tán
俭不中礼	jiǎn bù zhòng lǐ
拣精择肥	jiǎn jīng zé féi
拣精剔肥	jiǎn jīng tī féi
拣精拣肥	jiǎn jīng jiǎn féi
拣佛烧香	jiǎn fó shāo xiāng
蒹葭之思	jiān jiā zhī sī
蒹葭玉树	jiān jiā yù shù
蒹葭倚玉树	jiān jiā yǐ yù shù
蒹葭伊人	jiān jiā yī rén
煎盐迭雪	jiān yán dié xuě
煎水作冰	jiān shuǐ zuò bīng
煎胶续弦	jiān jiāo xù xián
煎膏炊骨	jiān gāo chuī gǔ
煎豆摘瓜	jiān dòu zhāi guā
缄舌闭口	jiān shé bì kǒu
缄口无言	jiān kǒu wú yán
缄口如瓶	jiān kǒu rú píng
缄口结舌	jiān kǒu jié shé
缄口不言	jiān kǒu bù yán
湔肠伐胃	jiān cháng fá wèi
监主自盗	jiān zhǔ zì dào
监守自盗	jiān shǒu zì dào
监市履狶	jiān shì lǚ xī
监门之养	jiān mén zhī yǎng
监临自盗	jiān lín zì dào
兼资文武	jiān zī wén wǔ
兼朱重紫	jiān zhū zhòng zǐ
兼听则明，偏信则暗	jiān tīng zé míng，piān xìn zé àn
兼收博采	jiān shōu bó cǎi
兼收并蓄	jiān shōu bìng xù
兼收并畜	jiān shōu bìng chù
兼收并容	jiān shōu bìng róng
兼收并录	jiān shōu bìng lù
兼收并采	jiān shōu bìng cǎi
兼弱攻昧	jiān ruò gōng mèi
兼容并蓄	jiān róng bìng xù
兼容并包	jiān róng bìng bāo
兼人之勇	jiān rén zhī yǒng
兼人之材	jiān rén zhī cái
兼人好胜	jiān rén hào shèng
兼权熟计	jiān quán shú jì
兼权尚计	jiān quán shàng jì
兼年之储	jiān nián zhī chǔ
兼览博照	jiān lǎn bó zhào
兼葭秋水	jiān jiā qiū shuǐ
兼官重绂	jiān guān zhòng fú
兼功自厉	jiān gōng zì lì
兼覆无遗	jiān fù wú yí
兼而有之	jiān ér yǒu zhī
兼程前进	jiān chéng qián jìn
兼程而进	jiān chéng ér jìn
兼程并进	jiān chéng bìng jìn
兼包并畜	jiān bāo bìng chù
兼包并容	jiān bāo bìng róng
兼爱无私	jiān ài wú sī
艰食鲜食	jiān shí xiān shí
艰深晦涩	jiān shēn huì sè
艰难险阻	jiān nán xiǎn zǔ
艰难曲折	jiān nán qū zhé
艰难困苦	jiān nán kùn kǔ
艰难竭蹶	jiān nán jié jué
艰苦卓绝	jiān kǔ zhuó jué
艰苦朴素	jiān kǔ pǔ sù
艰苦奋斗	jiān kǔ fèn dòu
艰苦创业	jiān kǔ chuàng yè
肩摩踵接	jiān mó zhǒng jiē
肩摩袂接	jiān mó mèi jiē
肩摩毂接	jiān mó gū jiē
肩摩毂击	jiān mó gǔ jī
肩负重任	jiān fù zhòng rèn
肩从齿序	jiān cóng chǐ xù
肩背相望	jiān bèi xiāng wàng
肩背难望	jiān bèi nán wàng
间不容瞬	jiān bù róng shùn
间不容缕	jiān bù róng lǚ
间不容砺	jiān bù róng lì
歼一警百	jiān yī jǐng bǎi
坚执不从	jiān zhí bù cóng
坚贞不渝	jiān zhēn bù yú
坚贞不屈	jiān zhēn bù qū
坚卧烟霞	jiān wò yān xiá
坚守不渝	jiān shǒu bù yú
坚如磐石	jiān rú pán shí
坚如盘石	jiān rú pán shí
坚韧不拔	jiān rèn bù bá
坚忍质直	jiān rěn zhì zhí
坚忍不拔	jiān rěn bù bá
坚强不屈	jiān qiáng bù qū
坚苦卓绝	jiān kǔ zhuó jué
坚甲利刃	jiān jiǎ lì rèn
坚甲利兵	jiān jiǎ lì bīng
坚甲厉兵	jiān jiǎ lì bīng
坚额健舌	jiān é jiàn shé
坚定不移	jiān dìng bù yí
坚持不渝	jiān chí bù yú
坚持不懈	jiān chí bù xiè
坚不可摧	jiān bù kě cuī
坚壁清野	jiān bì qīng yě
尖嘴猴腮	jiān zuǐ hóu sāi
尖嘴薄舌	jiān zuǐ bó shé
尖言冷语	jiān yán lěng yǔ
尖酸刻薄	jiān suān kè bó
尖酸克薄	jiān suān kè bó
尖担两头脱	jiān dàn liǎng tóu tuō
尖担担柴两头脱	jiān dàn dān chái liǎng tóu tuō
奸淫抢掠	jiān yín qiǎng lüè
奸淫掳掠	jiān yín lǔ lüè
奸人之雄	jiān rén zhī xióng
奸掳烧杀	jiān lǔ shāo shā
奸狡诡谲	jiān jiǎo guǐ jué
奸回不轨	jiān huí bù guǐ
奸官污吏	jiān guān wū lì
奸夫淫妇	jiān fū yín fù
奸臣当道	jiān chén dāng dào
稼穑艰难	jià sè jiān nán
嫁鸡逐鸡，嫁犬逐犬	jià jī zhú jī，jià quǎn zhú quǎn
嫁鸡随鸡，嫁狗随狗	jià jī suí jī，jià gǒu suí gǒu
嫁祸于人	jià huò yú rén
嫁狗逐狗	jià gǒu zhú gǒu
架屋叠床	jià wū dié chuáng
架屋迭床	jià wū dié chuáng
架肩接踵	jià jiān jiē zhǒng
架肩击毂	jià jiān jī gū
架谎凿空	jià huǎng záo kōng
架海擎天	jià hǎi qíng tiān
架海金梁	jià hǎi jīn liáng
驾雾腾云	jià wù téng yún
驾轻就熟	jià qīng jiù shú
驾肩接武	jià jiān jiē wǔ
驾肩接迹	jià jiān jiē jì
驾鹤西游	jià hè xī yóu
驾鹤成仙	jià hè chéng xiān
价重连城	jià zhòng lián chéng
价值连城	jià zhí lián chéng
价廉物美	jià lián wù měi
价等连城	jià děng lián chéng
假誉驰声	jiǎ yù chí shēng
假以辞色	jiǎ yǐ cí sè
假惺惺	jiǎ xīng xīng
假戏真做	jiǎ xì zhēn zuò
假途灭虢	jiǎ tú miè guó
假手于人	jiǎ shǒu yú rén
假手旁人	jiǎ shǒu páng rén
假仁纵敌	jiǎ rén zòng dí
假仁假义	jiǎ rén jiǎ yì
假人辞色	jiǎ rén cí sè
假情假意	jiǎ qíng jiǎ yì
假名托姓	jiǎ míng tuō xìng
假门假事	jiǎ mén jiǎ shì
假门假氏	jiǎ mén jiǎ shì
假眉三道	jiǎ méi sān dào
假力于人	jiǎ lì yú rén
假阶救火	jiǎ jiē jiù huǒ
假虎张威	jiǎ hǔ zhāng wēi
假公营私	jiǎ gōng yíng sī
假公济私	jiǎ gōng jì sī
假道灭虢	jiǎ dào miè guó
假慈悲	jiǎ cí bēi
假痴假呆	jiǎ chī jiǎ dāi
假痴不癫	jiǎ chī bù diān
甲乙丙丁	jiá yǐ bǐng dīng
甲冠天下	jiǎ guàn tiān xià
甲第星罗	jiǎ dì xīng luó
甲第连云	jiǎ dì lián yún
甲第连天	jiǎ dì lián tiān
甲坚兵利	jiá jiān bīng lì
颊上添毫	jiá shàng tiān háo
颊上三毛	jiá shàng sān máo
颊上三毫	jiá shàng sān háo
戛玉敲金	jiá yù qiāo jīn
戛玉敲冰	jiá yù qiāo bīng
戛玉锵金	jiá yù qiāng jīn
戛玉鸣金	jiá yù míng jīn
戛然而止	jiá rán ér zhǐ
戛戛其难	jiá jiá qí nán
戛戛乎其难矣	jiá jiá hū qí nán yǐ
戛戛独造	jiá jiá dú zào
戛釜撞瓮	jiá fǔ zhuàng wèng
戛釜撞翁	jiá fǔ zhuàng wèng
嘉言懿行	jiā yán yì xíng
嘉言善状	jiā yán shàn zhuàng
嘉言善行	jiā yán shàn xíng
葭莩之情	jiā fú zhī qíng
葭莩之亲	jiā fú zhī qīn
家至人说	jiā zhì rén shuō
家至户晓	jiā zhì hù xiǎo
家至户到	jiā zhì hù dào
家至户察	jiā zhì hù chá
家贼难防	jiā zéi nán fáng
家喻户晓	jiā yù hù xiǎo
家喻户习	jiā yù hù xí
家谕户晓	jiā yù hù xiǎo
家有千口，主事一人	jiā yǒu qiān kǒu，zhǔ shì yī rén
家有敝帚，享之千金	jiā yǒu bì zhǒu, xiǎng zhī qiān jīn
家殷人足	jiā yīn rén zú
家业雕零	jiā yè diāo líng
家衍人给	jiā yān rén jǐ
家言邪学	jiā yán xié xué
家学渊源	jiā xué yuān yuán
家弦户诵	jiā xián hù sòng
家无二主	jiā wú èr zhǔ
家无斗储	jiā wú dòu chǔ
家无儋石	jiā wú dàn shí
家无担石	jiā wú dàn shí
家无常礼	jiā wú cháng lǐ
家亡国破	jiā wáng guó pò
家徒四壁	jiā tú sì bì
家徒壁立	jiā tú bì lì
家书抵万金	jiā shū dǐ wàn jīn
家势中落	jiā shì zhōng luò
家生子儿	jiā shēng zǐ ér
家生孩儿	jiā shēng hái ér
家散人亡	jiā sàn rén wáng
家人父子	jiā rén fù zǐ
家破身亡	jiā pò shēn wáng
家破人亡	jiā pò rén wáng
家破人离	jiā pò rén lí
家贫如洗	jiā pín rú xǐ
家贫亲老	jiā pín qīn lǎo
家累千金，坐不垂堂	jiā lěi qiān jīn，zuò bù chuí táng
家见户说	jiā jiàn hù shuō
家家户户	jiā jiā hù hù
家骥人璧	jiā jì rén bì
家鸡野雉	jiā jī yé zhì
家鸡野鹜	jiā jī yě wù
家和万事兴	jiā hé wàn shì xīng
家给人足	jiā jǐ rén zú
家给民足	jiā jǐ mín zú
家反宅乱	jiā fǎn zhái luàn
家烦宅乱	jiā fán zhái luàn
家翻宅乱	jiā fān zhái luàn
家道中落	jiā dào zhōng luò
家道小康	jiā dào xiǎo kāng
家道消乏	jiā dào xiāo fá
家道从容	jiā dào cōng róng
家道壁立	jiā dào bì lì
家传人诵	jiā chuán rén sòng
家传户颂	jiā chuán hù sòng
家传户诵	jiā chuán hù sòng
家丑不外扬	jiā chǒu bù wài yáng
家丑不可外扬	jiā chǒu bù kě wài yáng
家丑不可外谈	jiā chǒu bù kě wài tán
家成业就	jiā chéng yè jiù
家常里短	jiā cháng lǐ duǎn
家常茶饭	jiā cháng chá fàn
家常便饭	jiā cháng biàn fàn
家长理短	jiā cháng lǐ duǎn
家长里短	jiā cháng lǐ duǎn
家长礼短	jiā cháng lǐ duǎn
家藏户有	jiā cáng hù yǒu
家财万贯	jiā cái wàn guàn
家败人亡	jiā bài rén wáng
浃髓沦肌	jiá suǐ lún jī
浃髓沦肤	jiā suǐ lún fū
浃沦肌髓	jiā lún jī suǐ
浃背汗流	jiā bèi hàn liú
枷脰械手	jiā dòu xiè shǒu
佳肴美馔	jiā yáo měi zhuàn
佳肴美味	jiā yáo měi wèi
佳人才子	jiā rén cái zǐ
佳人薄命	jiā rén bó mìng
佳偶自天成	jiā ǒu zì tiān chéng
佳儿佳妇	jiā ér jiā fù
佳兵不祥	jiā bīng bù xiáng
夹枪带棍	jiā qiāng dài gùn
夹枪带棒	jiā qiāng dài bàng
夹七夹八	jiā qī jiā bā
夹道欢呼	jiā dào huān hū
夹袋中人物	jiā dài zhōng rén wù
夹袋人物	jiā dài rén wù
夹板医驼子	jiá bǎn yī tuó zǐ
加枝添叶	jiā zhī tiān yè
加油添酱	jiā yóu tiān jiàng
加油添醋	jiā yóu tiān cù
加油加醋	jiā yóu jiā cù
加叶添枝	jiā yè tiān zhī
加绪含容	jiā xù hán róng
加膝坠渊	jiā xī zhuì yuān
加膝坠泉	jiā xī zhuì quán
加人一等	jiā rén yī děng
加减乘除	jiā jiǎn chéng chú
加官晋爵	jiā guān jìn jué
加官进位	jiā guān jìn wèi
加官进禄	jiā guān jìn lù
加官进爵	jiā guān jìn jué
骥子龙文	jì zǐ lóng wén
骥服盐车	jì fú yán chē
骥伏盐车	jì fú yán chē
稷蜂社鼠	jì fēng shè shǔ
霁月光风	jì yuè guāng fēng
霁风朗月	jì fēng lǎng yuè
祭天金人	jì tiān jīn rén
寄雁传书	jì yàn chuán shū
寄颜无所	jì yán wú suǒ
寄兴寓情	jì xìng yù qíng
寄生虫	jì shēng chóng
寄人檐下	jì rén yán xià
寄人门下	jì rén mén xià
寄人篱下	jì rén lí xià
寄迹山林	jì jì shān lín
寂天寞地	jì tiān mò dì
寂若无人	jì ruò wú rén
寂若死灰	jì ruò sǐ huī
寂然无声	jì rán wú shēng
寂然不动	jì rán bù dòng
寂寂无闻	jì jì wú wén
寂寂悄悄	jì jì qiāo qiāo
寂寂寞寞	jì jì mò mò
觊觎之志	jì yú zhī zhì
觊觎之心	jì yú zhī xīn
继踵接武	jì zhǒng jiē wǔ
继踵而至	jì zhǒng ér zhì
继志述事	jì zhì shù shì
继之以死	jì zhī yǐ sǐ
继往开来	jì wǎng kāi lái
继天立极	jì tiān lì jí
继绝兴亡	jì jué xīng wáng
继绝扶倾	jì jué fú qīng
继绝存亡	jì jué cún wáng
继继绳绳	jì jì mǐn mǐn
继继存存	jì jì cún cún
继继承承	jì jì chéng chéng
继晷焚膏	jì guǐ fén gāo
继古开今	jì gǔ kāi jīn
济世之才	jì shì zhī cái
济世匡时	jì shì kuāng shí
济世救人	jì shì jiù rén
济世经邦	jì shì jīng bāng
济世安人	jì shì ān rén
济世安民	jì shì ān mín
济世安邦	jì shì ān bāng
济世爱民	jì shì ài mín
济时拯世	jì shí zhěng shì
济时行道	jì shí xíng dào
济胜之具	jì shèng zhī jù
济弱扶危	jì ruò fú wēi
济弱扶倾	jì ruò fú qīng
济弱锄强	jì ruò chú qiáng
济人利物	jì rén lì wù
济窍飘风	jì qiào piāo fēng
济贫拔苦	jì pín bá kǔ
济困扶危	jì kùn fú wēi
济苦怜贫	jì kǔ lián pín
济河焚舟	jì hé fén zhōu
济寒赈贫	jì hán zhèn pín
既在矮檐下，怎敢不低头	jì zài ǎi yán xià，zěn gǎn bù dī tóu
既有今日，何必当初	jì yǒu jīn rì，hé bì dāng chū
既往不咎	jì wǎng bù jiù
既来之，则安之	jì lái zhī，zé ān zhī
既冠之年	jì guān zhī nián
既得利益	jì dé lì yì
既成事实	jì chéng shì shí
季孙之忧	jì sūn zhī yōu
季孟之间	jì mèng zhī jiān
季路一言	jì lù yī yán
季常之癖	jì cháng zhī pǐ
季常之惧	jì cháng zhī jù
季布一诺	jì bù yī nuò
际遇风云	jì yù fēng yún
际会风云	jì huì fēng yún
际地蟠天	jì dì pán tiān
纪群之交	jì qún zhī jiāo
纪纲人伦	jì gāng rén lún
记忆犹新	jì yì yóu xīn
记问之学	jì wèn zhī xué
记功忘失	jì gōng wàng shī
记功忘过	jì gōng wàng guò
计研心算	jì yán xīn suàn
计勋行赏	jì xūn xíng shǎng
计行言听	jì xíng yán tīng
计行虑义	jì xíng lǜ yì
计无由出	jì wú yóu chū
计无所之	jì wú suǒ zhī
计无所施	jì wú suǒ shī
计无所出	jì wú suǒ chū
计无复之	jì wú fù zhī
计无返顾	jì wú fǎn gù
计深虑远	jì shēng lǜ yuǎn
计上心头	jì shàng xīn tóu
计日奏功	jì rì zòu gōng
计日指期	jì rì zhǐ qī
计日以俟	jì rì yǐ sì
计日以期	jì rì yǐ qī
计日以待	jì rì yǐ dài
计日可期	jì rì kě qī
计日可待	jì rì kě dài
计日而俟	jì rì ér sì
计日而待	ji ri er dai
计日程功	jì rì chéng gōng
计穷智极	jì qióng zhì jí
计穷智短	jì qióng zhì duǎn
计穷途拙	jì qióng tú zhuō
计穷势迫	jì qióng shì pò
计穷势蹙	jì qióng shì cù
计穷虑尽	jì qióng lǜ jìn
计穷虑极	jì qióng lǜ jí
计穷力屈	jì qióng lì qù
计穷力诎	jì qióng lì qū
计穷力尽	jì qióng lì jìn
计穷力竭	jì qióng lì jié
计穷力极	jì qióng lì jí
计劳纳封	jì láo nà fēng
计尽力穷	jì jìn lì qióng
计较锱铢	jì jiào zī zhū
计将安出	jì jiāng ān chū
计获事足	jì huò shì zú
计合谋从	jì hé móu cóng
计过自讼	jì guò zì sòng
计功行赏	jì gōng xíng shǎng
计功行封	jì gōng xíng fēng
计功受赏	jì gōng shòu shǎng
计功受爵	jì gōng shòu jué
计功谋利	jì gōng móu lì
计功程劳	jì gōng chéng láo
计功补过	jì gōng bǔ guò
计伐称勋	jì fá chēng xūn
计斗负才	jì dòu fù cái
计绌方匮	jì chù fāng kuì
计出无奈	jì chū wú nai
计出无聊	jì chū wú liáo
计出万死	jì chū wàn sǐ
计出万全	jì chū wàn quán
计不旋跬	jì bù xuán kuǐ
计不返顾	jì bù fǎn gù
计不反顾	jì bù fǎn gù
即兴之作	jí xìng zhī zuò
绩学之士	jì xué zhī shì
济济一堂	jǐ jǐ yī táng
济济跄跄	jǐ jǐ qiàng qiàng
济济彬彬	jǐ jǐ bīn bīn
戟指怒目	jǐ zhǐ nǔ zhāng
戟指嚼舌	jǐ zhǐ jiáo shé
掎摭利病	jǐ zhí lì bìng
掎裳连襼	jǐ shang lián zhēng
掎裳连袂	jǐ cháng lián mèi
掎挈伺诈	jǐ qiè sì zhà
掎挈司诈	jǐ qiè sī zhà
掎角之势	jǐ jiǎo zhī shì
挤牙膏	jǐ yá gāo
挤眉弄眼	jǐ méi nòng yǎn
挤眉溜眼	jǐ méi liū yǎn
挤挤插插	jǐ jǐ chā chā
虮虱相吊	jǐ shī xiēng diào
己之所不安，勿施于人	jǐ zhī suǒ bù ān，wù shī yú rén
己所不欲，勿施于人	jǐ suǒ bù yù，wù shī yú rén
己所不欲，勿加诸人	jǐ suǒ bù yù，wù jiā zhū rén
己溺己饥	jǐ nì jǐ jī
己饥己溺	jǐ jī jǐ nì
几次三番	jǐ cì sān fān
蹐地跼天	jí dì jú tiān
鹡鸰在原	xià líng zài yuán
瘠义肥辞	jí yì féi cí
瘠人肥己	jí rén féi jǐ
瘠牛羸豚	jí niú léi tún
瘠牛偾豚	jí niú fèn tún
瘠己肥人	jí jǐ féi rén
嫉贤妒能	jí xián dù néng
嫉贤傲士	jí xián ào shì
嫉贪如雠	jí tān rú chóu
嫉贪如仇	jí tān rú chóu
嫉恶若仇	jí è ruò chóu
嫉恶如仇	jí è rú chóu
嫉恶好善	jí è hào shàn
集苑集枯	jí yuàn jí kū
集萤映雪	jí yíng yìng xuě
集腋为裘	jí yè wéi qiú
集腋成裘	jí yè chéng qiú
集思广益	jí sī guǎng yì
集思广议	jí sī guǎng yì
集矢之的	jí shǐ zhī de
棘没铜驼	jí mò tóng tuó
棘地荆天	jí dì jīng tiān
棘刺母猴	jí cì mǔ hóu
戢鳞委翅	jí lín wěi chì
戢鳞潜翼	jí lín qián yì
疾足先得	jí zú xiān dé
疾走先得	jí zǒu xiān dé
疾之若仇	jí zhī ruò chóu
疾之如仇	jí zhī rú chóu
疾雨暴风	jí yǔ bào fēng
疾言怒色	jí yán nù sè
疾言厉色	jí yán lì sè
疾言厉气	jí yán lì qì
疾言遽色	jí yán jù sè
疾言倨色	jí yán jù sè
疾痛惨怛	jí tòng cǎn dá
疾霆不暇掩目	jí tíng bù xiá yǎn mù
疾首痛心	jí shǒu tòng xīn
疾首蹙頞	jí shǒu cù é
疾首蹙额	jí shǒu cù é
疾声厉色	jí shēng lì sè
疾声大呼	jí shēng dà hū
疾如旋踵	jí rú xuán zhǒng
疾如雷电	jí rú léi diàn
疾雷不暇掩耳	jí léi bù xiá yǎn ěr
疾雷不及掩耳	jí léi bù jí yǎn ěr
疾雷不及塞耳	jí léi bù jí sāi ěr
疾风骤雨	jí fēng zhòu yǔ
疾风知劲草	jí fēng zhī jìng cǎo
疾风彰劲草	jí fēng zhāng jìn cǎo
疾风迅雷	jí fēng xùn léi
疾风甚雨	jí fēng shèn yǔ
疾风扫秋叶	jí fēng sǎo qiū yè
疾风扫落叶	jí fēng sǎo luò yè
疾风劲草	jí fēng jìn cǎo
疾风横雨	jí fēng héng yǔ
疾风暴雨	jí fēng bào yǔ
疾恶若雠	jí è ruò chóu
疾恶若仇	jí è ruò chóu
疾恶如风	jí è rú fēng
疾恶如雠	jí è rú chóu
疾恶如仇	jí è rú chóu
疾恶好善	jí è hào shàn
疾不可为	jí bù kě wéi
疾病相扶	jí bìng xiāng fú
急嘴急舌	jí zuǐ jí shé
急转直下	jí zhuǎn zhí xià
急竹繁丝	jí zhú fán sī
急中生智	jí zhōng shēng zhì
急则抱佛脚	jí zé bào fó jiǎo
急躁冒进	jí zào mào jìn
急于星火	jí yú xīng huǒ
急于事功	jí yú shì gōng
急于求成	jí yú qiú chéng
急先锋	jí xiān fēng
急三火四	jí sān huǒ sì
急如星火	jí rú xīng huǒ
急如风火	jí rú fēng huǒ
急人之忧	jí rén zhī yōu
急人之危	jí rén zhī wēi
急人之难	jí rén zhī nán
急人之困	jí rén zhī kùn
急人所急	jí rén suǒ jí
急起直追	jí qǐ zhí zhuī
急拍繁弦	jí pāi fán xián
急脉缓受	jí mài huǎn shòu
急脉缓灸	jí mài huǎn jiù
急流勇退	jí liú yǒng tuì
急流勇进	jí liú yǒng jìn
急敛暴征	jí liǎn bào zhēng
急吏缓民	jí lì huǎn mín
急就章	jí jiù zhāng
急景流年	jí jǐng liú nián
急景雕年	jí jǐng diāo nián
急景凋年	jí yǐng diāo nián
急惊风撞着慢郎中	jí jīng fēng zhuàng zhe màn láng zhōng
急急如律令	jí jí rú lǜ lìng
急急忙忙	jí jí máng máng
急急巴巴	jí jí bā bā
急管繁弦	jí guǎn fán xián
急功近名	jí gōng jìn míng
急功近利	jí gōng jìn lì
急功好利	jí gōng hǎo lì
急公好义	jí gōng hào yì
急公好施	jí gōng hǎo shī
急风骤雨	jí fēng zhòu yǔ
急风暴雨	jí fēng bào yǔ
急处从宽	jí chù cóng kuān
急杵捣心	jí chǔ dǎo xīn
急扯白脸	jí chě bái liǎn
急不择言	jí bù zé yán
急不择途	jí bù zé tú
急不择路	jí bù zé lù
急不暇择	jí bù xiá zé
急不可耐	jí bù kě nài
急不可待	jí bù kě dài
急不及待	jí bù jí dài
急病让夷	jí bìng ràng yí
佶屈聱牙	jí qū áo yá
佶屈聱口	jí qū áo kǒu
亟疾苛察	jí jí kē chá
极重难返	jí zhòng nán fǎn
极重不反	jí zhòng bù fǎn
极智穷思	jí zhì qióng sī
极则必反	jí zé bì fǎn
极武穷兵	jí wǔ qióng bīng
极往知来	jí wǎng zhī lái
极天罔地	jí tiān wǎng dì
极天蟠地	jí tiān pán dì
极天爬地	jí tiān pá dì
极天际地	jí tiān jì dì
极寿无疆	jí shòu wú jiāng
极深研几	jí shēn yán jī
极情纵欲	jí qíng zòng yù
极情尽致	jí qíng jìn zhì
极目远望	jí mù yuǎn wàng
极目远眺	jí mù yuǎn tiào
极目四望	jí mù sì wàng
极目迥望	jí mù jiǒng wàng
极乐世界	jí lè shì jiè
极口项斯	jí kǒu xiàng sī
极古穷今	jí gǔ qióng jīn
极而言之	jí ér yán zhī
极恶穷凶	jí è qióng xiōng
极恶不赦	jí è bù shè
极本穷源	jí běn qióng yuán
即以其人之道，还治其人之身	jí yǐ qí rén zhī dào，huán zhì qí rén zhī shēn
即心是佛	jí xīn shì fó
即小见大	jí xiǎo jiàn dà
即温听厉	jí wēn tīng lì
即事穷理	jí shì qióng lǐ
即鹿无虞	jí lù wú yú
即景生情	jí jǐng shēng qíng
汲引忘疲	jí yǐn wàng pí
汲深绠短	jí shēn gěng duǎn
汲汲营营	jí jí yíng yíng
汲汲忙忙	ji ji mang mang
汲汲皇皇	jí jí huáng huáng
汲汲顾影	jí jí gù yǐng
岌岌可危	jí jí kě wēi
岌岌不可终日	jí jí bù kě zhōng rì
吉凶未卜	jí xiōng wèi bǔ
吉凶祸福	jí xiōng huò fú
吉星高照	jí xīng gāo zhào
吉祥止止	jí xiáng zhǐ zhǐ
吉祥如意	jí xiáng rú yì
吉网罗钳	jí wǎng luó qián
吉少凶多	jí shǎo xiōng duō
吉日良时	jí rì liáng shí
吉日良辰	jí rì liáng chén
吉人自有天相	jí rén zì yǒu tiān xiàng
吉人天相	jí rén tiān xiàng
吉光片羽	jí guāng piàn yǔ
吉光片裘	jí guāng piàn qiú
吉光凤羽	jí guāng fèng yǔ
吉丢古堆	jí diū gǔ duī
及时雨	jí shí yǔ
及时应令	jí shí yīng lìng
及时行乐	jí shí xíng lè
及溺呼船	jí nì hū chuán
及笄年华	jí jī nián huá
及瓜而代	jí guā ér dài
及锋一试	jí fēng yī shì
及锋而试	jí fēng ér shì
及第成名	jí dì chéng míng
及宾有鱼	jí bīn yoǔ yú
期月有成	jī yuè yǒu chéng
几不欲生	jī bù yù shēng
激浊扬清	jī zhuó yáng qīng
激扬清浊	jī yáng qīng zhuó
激贪厉俗	jī tān lì sú
激起公愤	jī qǐ gōng fèn
激流勇退	jī liú yǒng tuì
激将法	jī jiàng fǎ
激忿填膺	jī fèn tián yīng
激薄停浇	jī bó tíng jiāo
激昂慷慨	jī áng kāng kǎi
齑盐自守	jī yán zì shǒu
齑身粉骨	jī shēn fěn gǔ
稽疑送难	jī yí sòng nán
稽古振今	jī gǔ zhèn jīn
稽古揆今	jī gǔ kuí jīn
箕帚之使	jī zhǒu zhī shǐ
箕引裘随	jī yǐn qiú suí
箕山之志	jī shān zhī zhì
箕山之节	jī shān zhī jié
箕山之风	jī shān zhī fēng
箕山之操	jī shān zhī cāo
箕山挂瓢	jī shān guà piáo
箕裘相继	jī qiú xiāng jì
箕裘堂构	jī qiú táng gòu
箕风毕雨	jī fēng bì yǔ
跻峰造极	jī fēng zào jí
畸重畸轻	jī zhòng jī qīng
畸轻畸重	jī qīng jī zhòng
畸流逸客	jī liú yì kè
畸流洽客	jī liú qià kè
赍志以殁	jī zhì yǐ mò
赍志以没	jī zhì yǐ méi
赍志没地	jī zhì mò dì
赍志而殁	jī zhì ér mò
赍志而没	jī zhì ér mò
赍粮藉寇	jī liáng jiè kòu
赍盗粮，借贼兵	jī dào liáng，jiè zéi bīng
犄角之势	jī jiǎo zhī shì
积铢累寸	jī zhū lěi cùn
积重难返	jī zhòng nán fǎn
积重难反	jī zhòng nán fǎn
